Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Plant/Arthropod,Object Class,Object Order,Object Family,Object Genus,Object Species,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Solanaceae,Acnistus,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Chrysobalanaceae,Licania,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Solanaceae,Solanum,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Muntingiaceae,Muntingia,Muntingia calabura,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Piperaceae,Piper,Piper tuberculatum,
Done 3/6,,,Done,,Primary  ,350,"Gardner, A. L. 1977",,Peru-Unspecified,Peru,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Urticaceae,Cecropia,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Consumption,Arthropod,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Arthropod,,Lepidoptera,,,,
Done 3/6,,,Done,,Primary  ,350,"Gardner, A. L. 1977",,Peru-Unspecified,Peru,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Piperaceae,Piper,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,,Chiroptera,Phyllostomidae,Sturnira,Sturnira mordax,Plant,,,Urticaceae,Cecropia,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Consumption,Fruit,Chiroptera,Phyllostomidae,Sturnira,Sturnira mordax,Plant,,,Musaceae,Musa,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Argentina-Unspecified,Argentina,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Arecaceae,Phoenix,Phoenix dactylifera,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Argentina-Unspecified,Argentina,,,,,,Consumption,Fruit,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Musaceae,Musa,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Muntingiaceae,Muntingia,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Solanaceae,,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Melastomataceae,,,
Done 3/6,,,Done,Bat cited as Tonatia sylvicola,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Lophostoma,Lophostoma silvicolum,Plant,,,Fabaceae,,,
Done 3/6,,,Done,Bat cited as Tonatia sylvicola,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Lophostoma,Lophostoma silvicolum,Plant,,,Apocynaceae,Stemmadenia,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Trinidad-Unspecified,Trinidad,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Myrtaceae,Psidium,Psidium guajava,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Moraceae,Brosimum,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Brazil-Unspecified,Brazil,,,,,,Consumption,Fruit,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Moraceae,Ficus,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Panama-Unspecified,Panama,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Arecaceae,,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Solanaceae,Acnistus,,
Done 3/6,,,Done,Bat cited as Vampyrops vittatus,Secondary,350,"Gardner, A. L. 1977",,Peru-Unspecified,Peru,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus vittatus,Plant,,,Moraceae,Ficus,,
Done 3/6,,,Done,Bat cited as Vampyrops vittatus,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus vittatus,Plant,,,Solanaceae,Acnistus,,
Done 3/6,,,Done,Bat cited as Vampyrops vittatus,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus vittatus,Plant,,,Urticaceae,Cecropia,,
Done 3/6,,,Done,Bat cited as Vampyrops helleri,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Urticaceae,Cecropia,,
Done 3/6,,,Done,Bat cited as Vampyrops helleri,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Solanaceae,Acnistus,,
Done 3/6,,,Done,Bat cited as Vampyrops helleri,Secondary,350,"Gardner, A. L. 1977",,Costa Rica-Unspecified,Costa Rica,,,,,,Consumption,Arthropod,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Arthropod,,Lepidoptera,,,,
Done 3/6,,,Done,Bat cited as Vampyrops lineatus,Secondary,350,"Gardner, A. L. 1977",,Brazil-Unspecified,Brazil,,,,,,Consumption,Arthropod,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Arthropod,,Lepidoptera,Sphingidae,,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Panama-Unspecified,Panama,,,,,,Consumption,Fruit,Chiroptera,Phyllostomidae,Vampyrum,Vampyrum spectrum,Plant,,,Myrtaceae,Psidium,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Panama-Unspecified,Panama,,,,,,Consumption,Fruit,Chiroptera,Phyllostomidae,Vampyrum,Vampyrum spectrum,Plant,,,Anacardiaceae,Anacardium,,
Done 3/6,,,Done,,Secondary,350,"Gardner, A. L. 1977",,Cuba-Unspecified,Cuba,,,,,,Consumption,Arthropod,Chiroptera,Phyllostomidae,Phyllonycteris,Phyllonycteris poeyi,Arthropod,,Lepidoptera,,,,
Done 3/12. Location description will be Unspecified Forest,In p. Q: Many contries are mentioned (in Central America and South America). Tropical forest is correct,,Done,,Primary  ,112,"Gentry, 1974",,Forest-Unspecified,,Forest,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Bignoniaceae,Crescentia,Crescentia alata,
Done 3/12. Location description will be Unspecified Forest,In p. Q: Many contries are mentioned (in Central America and South America). Tropical forest is correct,,Done,,Primary  ,112,"Gentry, 1974",,Forest-Unspecified,,Forest,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Bignoniaceae,Crescentia,Crescentia cujete,
Done 3/12. Location description will be Unspecified Forest,In p. Q: Many contries are mentioned (in Central America and South America). Tropical forest is correct,,Done,,Primary  ,112,"Gentry, 1974",,Forest-Unspecified,,Forest,,,,,Visitation,Flower,Chiroptera,,,,Plant,,,Bignoniaceae,Dendrosicus,Dendrosicus latifolius,
Done 3/12. Location description will be Unspecified Forest,In p. Q: Many contries are mentioned (in Central America and South America). Tropical forest is correct,,Done,,Primary  ,112,"Gentry, 1974",,Forest-Unspecified,,Forest,,,,,Visitation,Flower,Chiroptera,,,,Plant,,,Bignoniaceae,Parmentiera,Parmentiera cereifera,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Brosimum,Brosimum alicastrum,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Calophyllaceae,Calophyllum,Calophyllum longifolium,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Urticaceae,Cecropia,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus bullenei,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus citrifolia,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus costaricana,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus insipida,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus maxima,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus nymphaefolia,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus obtusifolia,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus popenoei,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus tonduzii,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus trigonata,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus yoponensis,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Piperaceae,Piper,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Poulsenia,Poulsenia armata,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Malvaceae,Quararibea,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Meliaceae,Trichilia,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Calophyllaceae,Calophyllum,Calophyllum longifolium,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus costaricana,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus dugandii,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus insipida,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus nymphaefolia,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus obtusifolia,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus popenoei,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus trigonata,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus yoponensis,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Piperaceae,Piper,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Malvaceae,Quararibea,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus bullenei,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus costaricana,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus insipida,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus yoponensis,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Poulsenia,Poulsenia armata,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Brosimum,Brosimum alicastrum,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus bullenei,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus citrifolia,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus costaricana,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus trigonata,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus yoponensis,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Poulsenia,Poulsenia armata,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
Done 3/12,Done,,Done,,Secondary,116,"Giannini, N. P. & E. K. V. Kalko. 2004",,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum,
