CitationId,CitationShortDescription,Region,LocationDescription,Country,HabitatType,Lat,Long,Elev,ElevRangeMax,InteractionType,InteractionTags,BatOrder,BatFamily,BatGenus,BatSpecies,Plant/Arthropod,ObjectClass,ObjectOrder,ObjectFamily,ObjectGenus,ObjectSpecies
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,Spondias mombin
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus yoponensis
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus insipida
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Clusiaceae,Clusia,Clusia odorata
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Solanaceae,Markea,Markea panamensis
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,Spondias mombin
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,Spondias mombin
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi
