Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Object Kingdom,Object Phylum,Object Class,Object Order,Object Family,Object Genus,Object Species
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plantae,,,,Moraceae,Ficus,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plantae,,,,Hypericaceae,Vismia,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Hypericaceae,Vismia,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plantae,,,,Urticaceae,Cecropia,Cecropia ficifolia
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plantae,,,,Moraceae,Ficus,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plantae,,,,Moraceae,Ficus,
C: done 12/28,"In p. Separate interactions (There are two study sites at Palcazu Valley, only separated by 10kms. Coordinates were given for both, but to not separate interactions, set of coordinates here are for Iscozacin. Iscozacin has an elevation of 375 mt and Shiringamazu an elev. of 1086 mt, and that's the range given here)",,Done,,Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla fischerae,Plantae,,,,Solanaceae,,
C: done 12/28,"T:done. There are two study sites at Palcazu Valley, only separated by 10kms. Coordinates were given for both, but to not separate interactions, set of coordinates here are for Iscozacin. Iscozacin has an elevation of 375 mt and Shiringamazu an elev. of 1086 mt, and that's the range given here. ",,Done,,Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla fischerae,Plantae,,,,Urticaceae,Cecropia,
C: done 12/28,"T:done. There are two study sites at Palcazu Valley, only separated by 10kms. Coordinates were given for both, but to not separate interactions, set of coordinates here are for Iscozacin. Iscozacin has an elevation of 375 mt and Shiringamazu an elev. of 1086 mt, and that's the range given here. ",,Done,,Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Piperaceae,Piper,
C: done 12/28,"T:done. There are two study sites at Palcazu Valley, only separated by 10kms. Coordinates were given for both, but to not separate interactions, set of coordinates here are for Iscozacin. Iscozacin has an elevation of 375 mt and Shiringamazu an elev. of 1086 mt, and that's the range given here. ",,Done,,Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plantae,,,,Urticaceae,Cecropia,
